Cryptocurrency,Model,Converged,Log-Likelihood,AIC,BIC,Persistence,Unit Root
BTC,"GARCH(1,1)",Yes,-6240.41,12488.82,12512.01,0.9465,OK
BTC,"TARCH(1,1)",Yes,-6230.10,12470.20,12499.19,0.9395,OK
BTC,TARCH-X,Yes,-6230.10,12470.20,12499.19,0.9395,OK
ETH,"GARCH(1,1)",Yes,-6882.96,13773.92,13797.11,0.9773,OK
ETH,"TARCH(1,1)",Yes,-6881.31,13772.61,13801.60,0.9669,OK
ETH,TARCH-X,Yes,-6881.31,13772.61,13801.60,0.9669,OK
XRP,"GARCH(1,1)",Yes,-7147.53,14303.06,14326.25,0.8984,OK
XRP,"TARCH(1,1)",Yes,-7147.09,14304.18,14333.16,0.8968,OK
XRP,TARCH-X,Yes,-7147.09,14304.18,14333.16,0.8968,OK
BNB,"GARCH(1,1)",Yes,-5890.81,11789.62,11812.38,1.0000,Warning
BNB,"TARCH(1,1)",Yes,-5890.07,11790.14,11818.60,0.9989,OK
BNB,TARCH-X,Yes,-5890.07,11790.14,11818.60,0.9989,OK
LTC,"GARCH(1,1)",Yes,-7120.87,14249.75,14272.94,0.9770,OK
LTC,"TARCH(1,1)",Yes,-7119.33,14248.66,14277.65,0.9824,OK
LTC,TARCH-X,Yes,-7119.33,14248.66,14277.65,0.9824,OK
ADA,"GARCH(1,1)",Yes,-7264.80,14537.61,14560.80,0.9501,OK
ADA,"TARCH(1,1)",Yes,-7260.45,14530.91,14559.89,0.9554,OK
ADA,TARCH-X,Yes,-7260.45,14530.91,14559.89,0.9554,OK
