crypto,event_variable,coefficient,std_error,p_value,event_type,fdr_corrected_pvalue,fdr_significant
btc,D_infrastructure,1.1908337289461544,0.5186226766997232,0.021752447549171938,Infrastructure,0.06525734264751581,True
btc,D_regulatory,0.31149620772882164,0.2614771652687144,0.23365477544462676,Regulatory,0.35048216316694014,False
eth,D_infrastructure,2.8140787326171743,0.9931629064275326,0.0046429209146912065,Infrastructure,0.05571505097629448,True
eth,D_regulatory,0.5549070258133338,0.42201998531520524,0.18867350966900465,Regulatory,0.3234403022897222,False
xrp,D_infrastructure,2.519016271604835,1.2152068078918474,0.03828594730581392,Infrastructure,0.0918862735339534,True
xrp,D_regulatory,1.4326476209607124,1.2867355758792074,0.2656483260337388,Regulatory,0.35419776804498504,False
bnb,D_infrastructure,1.4989224847013447,0.6444363791806359,0.020112823182892425,Infrastructure,0.06525734264751581,True
bnb,D_regulatory,0.1645170197704718,0.34314641768030835,0.6316759896288004,Regulatory,0.7580111875545605,False
ltc,D_infrastructure,2.917150557245674,1.571164265549138,0.06347781796373342,Infrastructure,0.12695563592746684,False
ltc,D_regulatory,0.049307324281733386,0.5855315638283969,0.932896813287291,Regulatory,0.999843929276923,False
ada,D_infrastructure,3.370851161641288,1.4202883706566316,0.01770477221258493,Infrastructure,0.06525734264751581,True
ada,D_regulatory,-0.00016493820697857919,0.8431310711172377,0.999843929276923,Regulatory,0.999843929276923,False
