asset,series_type,break_number,break_date,ci_lo_date,ci_hi_date,pre_mean,post_mean,delta_mean,t_stat,p_value,pre_n,post_n
btc,abs_return,1,2020-11-25,2020-03-31,2021-07-08,2.2092817082892346,2.1314905270503837,-0.07779118123885098,-0.7474810752859107,0.45492171782833685,693,1741
btc,abs_return,2,2022-07-30,2022-04-25,2022-09-11,2.52554559857189,1.7237557354321,-0.80178986313979,-9.167460084231738,1.0211465572737374e-19,1305,1129
btc,cond_variance,1,2020-12-02,2020-06-16,2021-05-29,12.183297873810446,11.094692848601674,-1.0886050252087713,-3.659030751241178,0.0002646544303932529,700,1734
btc,cond_variance,2,2021-12-02,2021-11-13,2021-12-08,14.200292864208357,9.235349898291247,-4.9649429659171105,-19.776489325874397,3.6275164197791787e-78,1065,1369
btc,cond_variance,3,2022-12-04,2022-11-25,2022-12-06,13.886600642469858,7.865163464197385,-6.021437178272473,-29.491050383873482,3.442659328697851e-161,1432,1002
btc,cond_variance,4,2024-01-05,2023-12-13,2024-01-10,12.388114869600123,8.444039363047919,-3.9440755065522044,-18.796118794202055,9.22039391077965e-73,1829,605
eth,abs_return,1,2020-11-05,2020-03-09,2021-06-28,2.9978590186766247,2.857045450880401,-0.1408135677962239,-1.0306798708215175,0.30291280270399007,673,1761
eth,abs_return,2,2021-11-05,2021-06-28,2022-01-10,3.3841356054754845,2.533011031580373,-0.8511245738951114,-7.0313240690129035,2.8216270221857093e-12,1038,1396
eth,abs_return,3,2022-11-12,2022-09-25,2022-12-05,3.3760772663059555,2.2349093877718333,-1.1411678785341222,-10.290816254129082,2.427818575187141e-24,1410,1024
eth,abs_return,4,2024-02-26,2023-07-28,2024-10-08,2.972556026917172,2.6355122458201685,-0.3370437810970035,-2.594492596154169,0.009609630416794386,1881,553
eth,cond_variance,1,2020-11-28,2020-08-14,2021-05-20,20.90520011002419,18.575754918516093,-2.3294451915080963,-4.99037739341943,6.770949364226485e-07,696,1738
eth,cond_variance,2,2021-12-01,2021-11-19,2021-12-09,23.848622480823188,15.664048909023315,-8.184573571799874,-18.92142815868518,3.6275906294099964e-73,1064,1370
eth,cond_variance,3,2022-12-11,2022-12-04,2022-12-14,23.59951602447124,12.939676146476081,-10.659839877995157,-29.62267055862227,5.777627939465621e-164,1439,995
eth,cond_variance,4,2024-08-06,2024-02-02,2024-09-29,19.614941301471802,17.292471217521538,-2.3224700839502646,-5.36845342412024,1.0194838035910327e-07,2043,391
xrp,abs_return,1,2020-11-14,2020-09-16,2021-03-14,2.4162469930445165,3.247167054162962,0.8309200611184453,6.184533772697864,7.776540079592569e-10,682,1752
xrp,abs_return,2,2021-11-14,2021-04-26,2022-04-08,3.406633853149208,2.7182202479471154,-0.6884136052020926,-4.746759438248804,2.219358056363557e-06,1047,1387
xrp,abs_return,3,2022-11-18,2022-06-06,2023-03-13,3.351741763361896,2.545040069969965,-0.8067016933919309,-5.949278380846588,3.086505310366621e-09,1416,1018
xrp,abs_return,4,2024-07-04,2023-11-21,2025-03-03,2.9772889561085685,3.190014920687846,0.21272596457927762,1.1206837057319594,0.26287399234098496,2010,424
xrp,cond_variance,1,2020-11-22,2020-11-07,2021-02-03,18.916515298946614,29.99946872653562,11.082953427589008,11.68782235616094,1.0237304881690021e-30,690,1744
xrp,cond_variance,2,2021-11-22,2021-08-08,2021-12-27,32.42028525696105,22.601934785538347,-9.818350471422704,-8.117624411085412,9.18440619860329e-16,1055,1379
xrp,cond_variance,3,2022-11-27,2022-09-14,2022-12-27,30.761868040722124,21.343713634610772,-9.418154406111352,-8.726687711214959,4.7781006347892846e-18,1425,1009
xrp,cond_variance,4,2024-07-15,2023-12-29,2025-03-03,26.428663441582707,28.95675593199186,2.528092490409154,1.698145296105145,0.0899922219241363,2021,413
bnb,abs_return,1,2021-01-04,2020-06-16,2021-07-08,2.959684114820354,2.5410533766516306,-0.4186307381687233,-2.8807652491195777,0.004075277411413067,490,1701
bnb,abs_return,2,2021-11-28,2021-11-01,2021-12-11,3.6108908334459504,2.0530723293427595,-1.557818504103191,-11.56793237658516,2.0975721489707833e-29,818,1373
bnb,abs_return,3,2022-12-23,2022-11-24,2023-01-02,3.306009007875039,1.8096827349271103,-1.4963262729479285,-13.501188478851498,8.530300666810649e-40,1208,983
bnb,abs_return,4,2023-12-12,2023-08-26,2024-01-05,2.8950499092902677,1.9880907021224141,-0.9069592071678536,-8.244288742043738,3.188907967546808e-16,1562,629
bnb,cond_variance,1,2020-09-05,2020-01-31,2021-04-06,17.623352037553154,16.64666341322972,-0.9766886243234332,-1.1805409846402513,0.2382025601104465,369,1822
bnb,cond_variance,2,2021-07-30,2021-07-15,2021-08-01,27.65712006517793,11.751154588576071,-15.90596547660186,-16.148993086405714,8.556450450503346e-51,697,1494
bnb,cond_variance,3,2022-07-04,2022-06-23,2022-07-05,25.024859679162482,9.443708236492931,-15.581151442669551,-21.97095557699178,2.966947592993252e-90,1036,1155
ltc,abs_return,1,2020-11-06,2020-03-09,2021-07-04,3.2034740817974128,3.1605950601655164,-0.042879021631896386,-0.299912765380786,0.7642955004717898,674,1760
ltc,abs_return,2,2021-11-28,2021-07-07,2022-03-12,3.652620433669462,2.8014264798976445,-0.8511939537718174,-6.514221653243976,9.228670648010624e-11,1061,1373
ltc,abs_return,3,2022-11-28,2022-08-10,2023-02-02,3.5789287298077825,2.597456813806415,-0.9814719160013676,-8.045543844241688,1.3322383364282126e-15,1426,1008
ltc,abs_return,4,2024-03-01,2023-07-29,2024-10-03,3.2465582254503262,2.9180812059178503,-0.328477019532476,-2.2907949826612413,0.02218757798324989,1885,549
ltc,cond_variance,1,2020-11-18,2020-03-23,2021-07-07,23.03283766420536,22.53242036529383,-0.500417298911529,-0.9695133900395062,0.33244616520248543,686,1748
ltc,cond_variance,2,2021-12-20,2021-12-03,2021-12-26,27.367580975063824,18.910516091920332,-8.457064883143492,-17.12700168930596,3.2093926513629216e-61,1083,1351
ltc,cond_variance,3,2022-12-20,2022-12-07,2022-12-26,26.287971571137298,17.365329210113277,-8.922642361024021,-20.104445290722598,2.796957756789489e-83,1448,986
