asset,sentiment_series,direction,f_stat,p_value_min,optimal_lag_by_p,optimal_lag_by_aic,optimal_lag_by_bic,n_obs,p_lag1,p_lag3,p_lag5,p_lag7,p_lag10
btc,S_reg_decomposed,sentiment_to_returns,0.4626682458032195,0.49644439498614085,1,10,7,2434,0.49644439498614085,0.8126158366041267,0.8983609877254517,0.982664720309271,0.9666965725046145
btc,S_reg_decomposed,returns_to_sentiment,1.1925273466428326,0.2907471409225854,10,10,8,2434,0.6149107580060137,0.5577671549182042,0.722237591935641,0.7129190257286446,0.2907471409225854
btc,S_infra_decomposed,sentiment_to_returns,1.6339598771206902,0.20127829612933537,1,10,7,2434,0.20127829612933537,0.42110262378017127,0.7637911665305941,0.9394176630860116,0.9697105753787242
btc,S_infra_decomposed,returns_to_sentiment,0.8246595475463422,0.4385070161196787,2,8,8,2434,0.5284292524515544,0.5590024181525761,0.5857808000702789,0.567290907836791,0.7216317535475061
btc,S_gdelt_normalized,sentiment_to_returns,1.2821692442194959,0.2776226784986148,2,10,7,2434,0.6651639783141441,0.3368389927237359,0.6110401602042341,0.7988477766933171,0.9400008498867708
btc,S_gdelt_normalized,returns_to_sentiment,1.0041350601879766,0.4039972607506562,4,10,8,2434,0.6736772971029963,0.48109167693724975,0.4716718224852475,0.5053150238474302,0.47484437139578484
eth,S_reg_decomposed,sentiment_to_returns,0.9188512485925395,0.514524348467974,10,10,7,2434,0.9915336697851335,0.9685117767132092,0.9953640484448886,0.9747989577223048,0.514524348467974
eth,S_reg_decomposed,returns_to_sentiment,1.286795101383867,0.2386396498927498,9,9,8,2434,0.4490376785639926,0.857539846327263,0.6875731302438269,0.5878612414278189,0.25970975890736014
eth,S_infra_decomposed,sentiment_to_returns,0.9182755747520867,0.3993455036916769,2,10,7,2434,0.42941222282055824,0.5496886908139836,0.7537450744330678,0.7122657368753573,0.5998173321789693
eth,S_infra_decomposed,returns_to_sentiment,1.056185198669051,0.3923924065424665,9,9,8,2434,0.5128479185694904,0.766710078473329,0.7972826448804531,0.5515355423725259,0.46969703839091215
eth,S_gdelt_normalized,sentiment_to_returns,0.92064845230873,0.5128423313911974,10,10,7,2434,0.8267424021910049,0.7780985533108766,0.9447233676924746,0.9070160746678287,0.5128423313911974
eth,S_gdelt_normalized,returns_to_sentiment,1.3627001001787444,0.1995299057871259,9,10,8,2434,0.23244229720975926,0.5444964079971224,0.5749038215730354,0.2780895148926867,0.26936301150240155
xrp,S_reg_decomposed,sentiment_to_returns,1.2761330423424369,0.23806173084292614,10,10,4,2434,0.728000262474256,0.2869515941080744,0.4468810529300935,0.4523215462252972,0.23806173084292614
xrp,S_reg_decomposed,returns_to_sentiment,3.2499015879383433,0.07155159668161311,1,10,8,2434,0.07155159668161311,0.14743422569621045,0.2556302239682957,0.2648066549324778,0.20495501437285915
xrp,S_infra_decomposed,sentiment_to_returns,1.6342319206076628,0.17936275301192314,3,10,4,2434,0.9074581148524122,0.17936275301192314,0.33974236341834985,0.3408622599555071,0.2511740622727746
xrp,S_infra_decomposed,returns_to_sentiment,5.9445067493556705,0.014834427674678801,1,10,8,2434,0.014834427674678801,0.08302996821645,0.09646085362722498,0.13547379751228678,0.25954825118954955
xrp,S_gdelt_normalized,sentiment_to_returns,1.5673074353716538,0.11015686332765416,10,10,4,2434,0.4370345083040224,0.23454173923085925,0.2810888420768722,0.15292673958849257,0.11015686332765416
xrp,S_gdelt_normalized,returns_to_sentiment,5.1774066059331805,0.022969172713854704,1,10,8,2434,0.022969172713854704,0.09234812202298259,0.1502069368757758,0.21180634837087242,0.28748617303238005
bnb,S_reg_decomposed,sentiment_to_returns,2.654297111538244,0.10341441400753083,1,10,7,2191,0.10341441400753083,0.5783803646563666,0.4157180620653716,0.47094688891476044,0.48066147116067737
bnb,S_reg_decomposed,returns_to_sentiment,2.9216936719079367,0.0012117870383364035,10,10,8,2191,0.323255652860386,0.7040349219911588,0.9113059293799324,0.3543068837917112,0.0012117870383364035
bnb,S_infra_decomposed,sentiment_to_returns,0.16620010949375508,0.6835511124003473,1,10,7,2191,0.6835511124003473,0.9185936132634267,0.8150163907490796,0.8141259625869036,0.8270309461850027
bnb,S_infra_decomposed,returns_to_sentiment,1.4963368683320348,0.13428824965282418,10,10,8,2191,0.26751022591750306,0.49884942587559844,0.7119822480000396,0.7123335202389594,0.13428824965282418
bnb,S_gdelt_normalized,sentiment_to_returns,2.1160114785099045,0.1459092214831498,1,10,7,2191,0.1459092214831498,0.7345671054162306,0.6543118858235961,0.6621074414789483,0.7028984937445077
bnb,S_gdelt_normalized,returns_to_sentiment,2.0768103504359474,0.023230943824895933,10,10,8,2191,0.2102872990740007,0.610154680252168,0.8260764323480442,0.39272928331838247,0.023230943824895933
ltc,S_reg_decomposed,sentiment_to_returns,0.6751658791128532,0.7485016699375048,10,10,4,2434,0.9011159645055282,0.9826288817468025,0.9788363076896864,0.9892309858004023,0.7485016699375048
ltc,S_reg_decomposed,returns_to_sentiment,1.0388635296713873,0.40751702291549635,10,10,8,2434,0.7665013052183774,0.6027893470618293,0.7598730343864527,0.7988374071809095,0.40751702291549635
ltc,S_infra_decomposed,sentiment_to_returns,1.6459298236169166,0.19304834985379485,2,10,4,2434,0.3042549810611474,0.34566203947806523,0.6475413967804724,0.8225705948108828,0.8468924583648844
ltc,S_infra_decomposed,returns_to_sentiment,0.697929225766758,0.40356251132778237,1,9,8,2434,0.40356251132778237,0.6668402416982371,0.6437661447348737,0.5581802158922355,0.5370487286340987
ltc,S_gdelt_normalized,sentiment_to_returns,0.7351770619376152,0.47952729856385834,2,10,4,2434,0.7180306188926517,0.6373040776326717,0.8219366797156775,0.9123634883496542,0.8847172904112209
ltc,S_gdelt_normalized,returns_to_sentiment,1.294676100795863,0.2274146542929248,10,10,8,2434,0.5646493081671798,0.459370524764977,0.6326487758835799,0.42828043232298796,0.2274146542929248
ada,S_reg_decomposed,sentiment_to_returns,1.2728541640505115,0.2399831587035576,10,10,7,2434,0.5747451103081789,0.8653346729411343,0.7851059524395694,0.9418192574773868,0.2399831587035576
ada,S_reg_decomposed,returns_to_sentiment,2.0780459351579466,0.125397235143725,2,10,8,2434,0.8351974299952406,0.24248861024167984,0.43790992918766136,0.4311848307894631,0.2041316056463517
ada,S_infra_decomposed,sentiment_to_returns,3.5912117461887227,0.05820446328761648,1,10,7,2434,0.05820446328761648,0.3191530987306779,0.2908426611949787,0.5324760995408768,0.17735302929922725
ada,S_infra_decomposed,returns_to_sentiment,0.06425243470717609,0.7999182631291255,1,8,8,2434,0.7999182631291255,0.9869324226203764,0.989034415399967,0.822989886921061,0.9319046568093541
ada,S_gdelt_normalized,sentiment_to_returns,0.45892851778802907,0.49818964792368686,1,10,7,2434,0.49818964792368686,0.9263584616026544,0.8572713404740904,0.9729924907493952,0.5074340738476975
ada,S_gdelt_normalized,returns_to_sentiment,0.768029152897225,0.4640392169729592,2,10,8,2434,0.9231327955199694,0.668314109792273,0.8306260412729294,0.6967752143774739,0.5650149183254867
