asset,subsample_start,subsample_end,n_obs,alpha,beta,persistence,log_lik,full_sample_persistence
btc,2019-01-02,2020-11-25,694,0.09079812261250293,0.907201877387497,0.998,-1707.7081596209146,0.998
btc,2020-11-25,2022-07-30,613,0.033891467853587105,0.9354743488445664,0.9693658166981535,-1683.5430901151394,0.998
btc,2022-07-30,2025-08-31,1129,0.09347717048639785,0.8776100421509848,0.9710872126373826,-2521.7573270713356,0.998
eth,2019-01-02,2020-11-05,674,0.11890684726766397,0.7890729000897662,0.9079797473574301,-1877.4165857801986,0.9980000000000001
eth,2020-11-05,2021-11-05,366,0.07309857151744398,0.8534393605643316,0.9265379320817755,-1113.6234657097261,0.9980000000000001
eth,2021-11-05,2022-11-12,373,0.14303296590391992,0.7355404496741413,0.8785734155780612,-1074.687557984254,0.9980000000000001
eth,2022-11-12,2024-02-26,472,0.038515326675549515,0.9594846733245058,0.9980000000000553,-1071.182979769876,0.9980000000000001
eth,2024-02-26,2025-08-31,553,0.1468926456000005,0.4605217580154918,0.6074144036154923,-1469.8727596909625,0.9980000000000001
xrp,2019-01-02,2020-11-14,683,0.3,0.5978458722436961,0.8978458722436962,-1736.8158245702941,0.998
xrp,2020-11-14,2021-11-14,366,0.19528454285623806,0.7677322919288924,0.9630168347851304,-1211.6785194122333,0.998
xrp,2021-11-14,2022-11-18,370,0.17217071368309783,0.7584237325799728,0.9305944462630706,-1044.2409428165092,0.998
xrp,2022-11-18,2024-07-04,595,0.15363584951380047,0.658958784961552,0.8125946344753525,-1422.4435434815286,0.998
xrp,2024-07-04,2025-08-31,424,0.2611349367576888,0.6632874679286609,0.9244224046863496,-1197.3905959060235,0.998
bnb,2019-09-02,2021-01-04,491,0.12282212500123622,0.7956264642074455,0.9184485892086818,-1349.5449223154978,0.998
bnb,2021-01-04,2021-11-28,329,0.16384195193102888,0.7723429645226174,0.9361849164536463,-1036.118624053217,0.998
bnb,2021-11-28,2022-12-23,391,0.22547838365460304,0.5832118553316096,0.8086902389862126,-1034.9600232142218,0.998
bnb,2022-12-23,2023-12-12,355,0.24206212802926919,0.7559378719707308,0.998,-734.7462420479346,0.998
bnb,2023-12-12,2025-08-31,629,0.0849646569531575,0.8551950246882652,0.9401596816414227,-1482.6192660810357,0.998
ltc,2019-01-02,2020-11-06,675,0.13430014606445356,0.7510921478863183,0.8853922939507719,-1920.3364968939259,0.9844420402422696
ltc,2020-11-06,2021-11-28,388,0.06428555970643893,0.8945840544885421,0.958869614194981,-1225.9440237261995,0.9844420402422696
ltc,2021-11-28,2022-11-28,366,0.10576886575917102,0.8244443393245526,0.9302132050837236,-1056.0884612678358,0.9844420402422696
ltc,2022-11-28,2024-03-01,460,0.08778593970970938,0.7209782013064076,0.8087641410161169,-1143.3518033779753,0.9844420402422696
ltc,2024-03-01,2025-08-31,549,0.06984374104671413,0.8977990910371135,0.9676428320838276,-1503.6945893481711,0.9844420402422696
ada,2019-01-02,2020-11-21,690,0.1280232527582398,0.660326913902447,0.7883501666606868,-2011.7040357473825,0.9539752349654448
ada,2020-11-21,2022-06-26,583,0.15305152548561365,0.7920491333292116,0.9451006588148252,-1845.1614077176828,0.9539752349654448
ada,2022-06-26,2023-12-05,528,0.22444611716487334,0.6338803320249977,0.858326449189871,-1332.2166956796248,0.9539752349654448
ada,2023-12-05,2025-08-31,636,0.1200775192927998,0.777406672863982,0.8974841921567818,-1808.830326885482,0.9539752349654448
