# per-asset deltas (unrestricted fit, baseline S1 50-event)
asset,delta_infra,delta_reg,diff,ok_unr,ok_null
btc,1.008102856130483,0.29842309704531805,0.7096797590851649,True,True
eth,2.2473898925641413,0.48809306239221595,1.7592968301719254,True,True
xrp,2.237374333801234,1.2192405415235097,1.0181337922777245,True,True
bnb,1.2054783435984835,0.18141154437405038,1.0240667992244332,True,True
ltc,2.379651357518873,0.1436425362937262,2.236008821225147,True,True
ada,2.7914826084727027,0.09897316145918213,2.6925094470135207,True,True

# summary
d_bar_obs,multiplier,rho_return,rho_resid,B_requested,p_param_null_one_sided,p_param_null_two_sided,param_null_B_used,param_null_frac_dropped,unr_ci90_lo,unr_ci90_hi,unr_ci95_lo,unr_ci95_hi,unr_pct95_lo,unr_pct95_hi,unr_boot_median_bias,unr_frac_le0,unr_B_used,unr_frac_dropped,wild_p_one_sided,wild_p_two_sided,wild_ci95_lo,wild_ci95_hi,wild_B_used,wild_frac_dropped,numba
1.5732825748329857,4.884993756688113,0.688208467039957,0.7048150305975491,2000,0.05869797225186766,0.059231590181430094,1873,0.0635,0.3858130773005124,1.763724805369094,0.1955930128859258,1.8951435417178604,1.251421607948111,2.9509721367800457,0.44722515879078517,0.010615711252653927,1884,0.058,0.001579778830963665,0.00210637177461822,1.4118075436339799,1.6550378070426484,1898,0.051,False
