spec,n_infra,n_reg,mean_dInfra,mean_dReg,multiplier,welch_t,welch_p,winsor,published_global_mult
curated,26,24,1.9782904995263761,0.40497407308912425,4.884980622181722,4.677258185468573,0.0015019774200588508,global_clip,
nofilter,82,53,0.20925516507392042,0.3636380195280842,0.5754490835295053,-0.8205377297745127,0.4464658325681609,global_clip,0.58
relaxed,69,46,1.402557811210529,0.9437937591365556,1.4860850663959473,1.0505425894417308,0.3208302209114351,global_clip,1.49
twoasset,53,40,2.6496793200595707,1.6516261885956744,1.6042851211462743,1.4079656532697649,0.19008625136088694,global_clip,1.61
strict,42,35,3.834430640922516,2.924613320753427,1.3110897819253269,0.872904684712528,0.403438239305833,global_clip,1.31
curated,26,24,2.430642732222388,0.4641738615566838,5.236492042164601,4.5986534227589715,0.001484276029598168,rolling_canon,
nofilter,82,53,0.3379742725273291,0.5491044238213233,0.615500909964085,-0.8844624716445804,0.4117622645046037,rolling_canon,0.58
relaxed,69,46,1.8011178678054414,1.2017843324289752,1.4987030694310424,1.1111307605160656,0.2949602441368599,rolling_canon,1.49
twoasset,53,40,3.3021466987146226,2.0292942381856807,1.627238986134881,1.4659858944679618,0.17359689355229163,rolling_canon,1.61
strict,42,35,4.787216122246529,3.53107677041681,1.3557383295525018,1.0012111521258258,0.34034542088564346,rolling_canon,1.31
