asset,segment,start,end,n_obs,alpha,se_alpha,beta,se_beta,gamma,se_gamma,persistence,se_persistence,small_sample_n_lt_500,full_persistence,drop_vs_full,drop_exceeds_2se
btc,FULL,2019-01-02,2025-08-31,2434,0.06943357749217326,0.014121625964759823,0.9295660793175564,0.01680209406254205,6.863805400807174e-07,0.01879806274058951,0.9989999999999998,0.023876190556176975,False,,,
btc,seg0,2019-01-02,2020-11-25,693,0.09128104525085254,0.02989691722940441,0.9075134588898085,0.06175203292130003,-0.0004109917186744614,0.08124888359469554,0.9985890082813238,0.07973383535915776,False,0.9989999999999998,0.0004109917186759793,False
btc,seg1,2020-11-25,2022-07-30,612,0.0327913142641211,0.019867729153440584,0.933220970333893,0.040171347214142325,0.0034977945869991097,0.025975464452330954,0.9677611818915136,0.046659886273888736,False,0.9989999999999998,0.031238818108486166,False
btc,seg2,2022-07-30,2025-08-31,1128,0.06958833594500019,0.03630980158451352,0.8613657298348741,0.056599154398759975,0.06327107474053102,0.0543831590599346,0.9625896031501397,0.07253446054873468,False,0.9989999999999998,0.03641039684986003,False
eth,FULL,2019-01-02,2025-08-31,2434,0.07389898394926805,0.02175690153532208,0.9251009885402075,0.03715028964215784,-5.50210493476172e-08,0.025380696801416424,0.998999944978951,0.04488375794700437,False,,,
eth,seg0,2019-01-02,2020-11-05,673,0.1363965117864787,0.06502300767956463,0.8193664647184618,0.09571723141632134,-0.049549827590886886,0.06127024758885087,0.9309880627094971,0.11970083845822513,False,0.998999944978951,0.06801188226945387,False
eth,seg1,2020-11-05,2021-11-05,365,0.04227475205646113,0.045552568017962376,0.8091041563322532,0.08317665652433771,0.07077576470726225,0.0771375643736301,0.8867667907423454,0.10237647973520442,True,0.998999944978951,0.11223315423660551,False
eth,seg2,2021-11-05,2022-11-12,372,1e-08,0.10342331741753416,0.6218890002624722,0.13139782558245677,0.33295708404682633,0.16776314345644258,0.7883675522858854,0.18707722798096643,True,0.998999944978951,0.21063239269306555,False
eth,seg3,2022-11-12,2024-02-26,471,0.0428624863752868,,0.95,,-0.012275027113045785,,0.9867249728187638,,True,0.998999944978951,0.012274972160187136,
eth,seg4,2024-02-26,2025-08-31,552,0.08457909241657285,0.06987594978259691,0.5031009540946789,0.2317711627980793,0.14489199926312107,0.11757728225547165,0.6601260461428122,0.24911167091976943,False,0.998999944978951,0.3388738988361387,False
xrp,FULL,2019-01-02,2025-08-31,2434,0.2146874461725669,0.038511551997558666,0.7771095414460812,0.03587122772870784,-0.014406024762703905,0.043611116038257715,0.9845939752372962,0.05696812245941653,False,,,
xrp,seg0,2019-01-02,2020-11-14,682,0.3,0.13904864735603814,0.6270320375343674,0.15252218044935759,-0.047758921395751656,0.1339619816245945,0.9031525768364916,0.21698846741420913,False,0.9845939752372962,0.08144139840080455,False
xrp,seg1,2020-11-14,2021-11-14,365,0.19439993395606533,0.09016476960853859,0.7607127828758616,0.1123934202330814,0.007135439094656466,0.09631185730881074,0.9586804363792553,0.15192419180242184,True,0.9845939752372962,0.02591353885804093,False
xrp,seg2,2021-11-14,2022-11-18,369,0.09874737398569486,0.06822449891716609,0.774588147793498,0.08856693602891089,0.1379206843448062,0.11228744211481531,0.942295863951596,0.12510316472503638,True,0.9845939752372962,0.04229811128570016,False
xrp,seg3,2022-11-18,2024-07-04,594,0.21609278924177658,0.09009390803360587,0.6989676898047356,0.09616095657135035,-0.1678790419069757,0.08651631998493815,0.8311209580930242,0.13869069990240518,False,0.9845939752372962,0.15347301714427197,False
